OBJECTID,STATION_ID,ASSET_ID,NAME,LONGNAME,LINES,BRANCH_ID,STATUS,MILEPOST,FAREZONE,ADA,ADA2,PKNRD,BIKEPKNG,TICKET_AVA,ADDRESS,MUNICIPALI,TELEPHONE,WEBLINK,LABELANGLE,EDIT_INIT,EDIT_DATE,YEAR_OPEN,X,Y,xcoord,ycoord
117,11105.00000,51211105.00000,Maywood,Maywood,UP-W,11,1,10.50000,C,2,M,1,0,,450 W. St. Charles,Maywood,,,45,ks,1995/08/02,,,,-87.83878,41.88833
118,11113.00000,51211113.00000,Melrose Park,Melrose Park,UP-W,11,1,11.30000,C,2,M,1,0,,1801 W. Main St.,,,,45,ks,1995/08/02,,,,-87.85587,41.89027
119,11126.00000,51211126.00000,Bellwood,Bellwood,UP-W,11,1,12.60000,C,2,M,1,0,,105 Frederick Ave.,Bellwood,,,45,ks,1995/09/14,,,,-87.88274,41.89141
120,11143.00000,51211143.00000,Berkeley,Berkeley,UP-W,11,1,14.30000,C,0,A,1,0,,5900 W. Park Ave.,Berkeley,,,45,ks,1995/08/02,,,,-87.91602,41.89627
121,11157.00000,51211157.00000,Elmhurst,Elmhurst,UP-W,11,1,15.70000,D,0,A,1,64,,128 W. 1st St. (at York Rd.),Elmhurst,,,45,ks,1995/08/02,,,,-87.94094,41.89970
122,11178.00000,51211178.00000,Villa Park,Villa Park,UP-W,11,1,17.80000,D,0,A,1,11,,Ardmore Ave. and 1st St.,Villa Park,,,45,ks,1995/08/02,,,,-87.97783,41.89630
123,11199.00000,51211199.00000,Lombard,Lombard,UP-W,11,1,19.90000,D,0,A,1,30,,9 S. Main St.,Lombard,,,45,ks,1995/08/02,,,,-88.01855,41.88649
124,11224.00000,51211224.00000,Glen Ellyn,Glen Ellyn,UP-W,11,1,22.40000,E,0,A,1,40,,551 Crescent Blvd ( at Main St.),Glen Ellyn,,,45,ks,1995/08/02,,,,-88.06461,41.87646
125,11238.00000,51211238.00000,College Ave.,College Avenue,UP-W,11,1,23.80000,E,0,N,1,40,,1295 E. College Ave.,Wheaton,,,45,ks,1995/08/02,,,,-88.08881,41.86904
126,11250.00000,51211250.00000,Wheaton,Wheaton,UP-W,11,1,25.00000,E,0,M,1,110,,402 Front St. (at West St.),Wheaton,,,45,ks,1995/08/02,,,,-88.10873,41.86445
127,11275.00000,51211275.00000,Winfield,Winfield,UP-W,11,1,27.50000,F,0,A,1,0,,Jewell Rd. and Winfield Rd.,Winfield,,,45,ks,1995/08/02,,,,-88.15749,41.87001
128,11300.00000,51211300.00000,West Chicago,West Chicago,UP-W,11,1,29.80000,F,0,A,1,27,,508 W. Main St.,West Chicago,,,45,ks,1995/08/02,,,,-88.19892,41.88107
129,11355.00000,51211355.00000,Geneva,Geneva,UP-W,11,1,35.50000,H,0,A,1,25,,328 Crescent Place,Geneva,,,45,ks,1995/08/02,,,,-88.31021,41.88150
130,12029.00000,51212029.00000,Western Ave.,Western Avenue,"Milw-N, Milw-W, NCS",12,1,2.90000,A,0,A,1,0,,420 N. Artesian (near Grand Ave.),Chicago,,,30,ks,1995/08/02,,,,-87.68831,41.88911
131,12077.00000,51212077.00000,Hanson Park,Hanson Park,Milw-W,12,1,7.70000,B,0,N,1,0,,Parkside and Armitage Ave.,Chicago,,,30,ks,1995/08/02,,,,-87.76763,41.91656
132,12086.00000,51212086.00000,Galewood,Galewood,Milw-W,12,1,8.60000,B,0,N,1,0,,2031 N. Narragansett,Chicago,,,30,ks,1995/08/02,,,,-87.78473,41.91640
133,12091.00000,51212091.00000,Mars,Mars,Milw-W,12,1,9.10000,B,0,N,1,0,,6801 W. Shakespeare Ave.,Chicago,,,30,ks,1995/08/02,,,,-87.79453,41.91925
134,0.00000,0.00000,Pingree Rd.,Pingree Rd.,UP-NW,13,1,0.00000,I,0,,0,0,,570 Congress Pkwy,Crystal Lake,,,0,af,2011/04/28,,,,-88.29802,42.23415
135,0.00000,0.00000,Palos Heights,Palos Heights,SWS,8,1,0.00000,D,0,,0,0,,11451 Southwest Highway,Palos Heights,,,0,af,2011/04/28,,,,-87.80718,41.68196
136,0.00000,0.00000,35th St,Lovana S. Jones/Bronzeville,Rock Is.,6,1,0.00000,A,0,,0,0,,106 W 35th St,Chicago,,,0,af,2011/04/28,,,,-87.62942,41.83148
137,0.00000,0.00000,La Fox,La Fox,UP-W,11,1,0.00000,I,0,,0,0,,40 W 999 Deslinger Rd,Kane County,,,0,af,2011/04/28,,,,-88.41180,41.88670
